Time Elapsed (min),Stroke Rate,Average Power,Score,Misses,Handle Force,Handle Position,Raw Seat Position,Converted Seat Position,Left Foot Force,Right Foot Force
0.00,0,0,0,0,0,0,143.16999999999996,21.0,0,0
0.00,26.086025668878822,108.24881543337104,0,0,0,0,157.48000000000002,24.0,0,0
0.00,27.824908646327945,111.62533978090765,0,0,0,0,171.79000000000002,27.0,0,0
0.00,26.07370284975294,109.77365909024448,0,0,0,0,186.10000000000002,30.0,0,0
0.00,26.401155648095642,104.53887685418765,0,0,0,0,200.40999999999997,33.0,0,0
0.00,26.47843280467279,103.16252741735762,0,0,0,0,214.71999999999997,36.0,0,0
0.00,25.22579215787851,100.77497221554214,0,0,0,0,229.03000000000003,39.0,0,0
0.00,23.445396707546124,99.34154931459071,0,0,0,0,243.34000000000003,42.00000000000001,0,0
0.00,23.49707401790596,103.97859124665952,0,0,0,0,257.65000000000003,45.00000000000001,0,0
0.00,21.649886147084704,102.72643330690593,0,0,0,0,271.96000000000004,48.00000000000001,0,0
0.02,22.138438060100285,102.97885474952203,0,0,0,0,286.27000000000004,51.00000000000001,0,0
0.02,20.663011794753555,108.70444758018651,0,0,0,0,300.58000000000004,54.00000000000001,0,0
0.02,22.49072511997603,112.75700475580484,0,0,0,0,314.89000000000004,57.000000000000014,0,0
0.02,21.042049967506756,112.99949105187049,0,0,0,0,329.20000000000005,60.00000000000001,0,0
0.02,22.077973630750236,115.20080368976933,0,0,0,0,343.51,63.0,0,0
0.02,22.864322049308775,117.64747248371117,0,0,0,0,357.82,66.0,0,0
0.02,20.881966373736898,120.2764881692854,0,0,0,0,372.13,69.0,0,0
0.02,20.88441766240469,120.8871066884679,0,0,0,0,386.44,72.0,0,0
0.02,19.034107475255176,122.55537828978434,0,0,0,0,400.75,75.0,0,0
0.02,19.87494414755458,125.65522458671003,0,0,0,0,415.06,78.0,0,0
0.03,20.470461498841644,127.05622345841478,0,0,0,0,429.37,81.0,0,0
0.03,19.06862848029229,128.4152905268829,0,0,0,0,443.68,84.0,0,0
0.03,18.784452472324553,131.0880555714419,0,0,0,0,457.99,87.0,0,0
0.03,20.203281757067334,130.96887937598964,0,0,0,0,472.3,90.0,0,0
0.03,19.262503165759888,131.35447695754104,0,0,0,0,486.61,93.0,0,0
0.03,18.840182032908327,132.02839530139073,0,0,0,0,500.92,96.0,0,0
0.03,18,133.66605603487747,0,0,0,0,515.23,99.0,0,0
0.03,18,133.57709511433228,1,0,0,0,520,100.0,0,0
0.03,19.624345673456713,129.8008553518773,1,0,0,0,505.69,97.0,0,0
0.03,19.18606863337132,127.5575399578919,1,0,0,0,491.38,94.0,0,0
0.05,20.10487510914724,125.60310883875023,1,0,0,0,477.07,91.0,0,0
0.05,19.781994127452336,123.45537125428281,1,0,0,0,462.76,88.0,0,0
0.05,18.37805891300571,121.52386360478744,1,0,0,0,448.45,85.0,0,0
0.05,18.785033133354304,120.1381816184261,1,0,0,0,434.14,82.0,0,0
0.05,18.202019719050575,118.55510976281317,1,0,0,0,419.83,79.0,0,0
0.05,18.48538489169895,117.25484360168872,1,0,0,0,405.52,76.0,0,0
0.05,18.51877593458732,115.63361873280886,1,0,0,0,391.21,73.0,0,0
0.05,19.572549322525177,113.98979086663324,1,0,0,0,376.9,70.0,0,0
0.05,19.06761432985134,111.91540475481033,1,0,0,0,362.59000000000003,67.0,0,0
0.05,20.891861931550345,110.54932520681731,1,0,0,0,348.28,63.99999999999999,0,0
0.07,21.02548813315572,109.00917468167589,1,0,0,0,333.96999999999997,60.99999999999999,0,0
0.07,19.889865917184125,107.38920998067768,1,0,0,0,319.65999999999997,57.99999999999999,0,0
0.07,21.413287267693928,106.21459650300659,1,0,0,0,305.34999999999997,54.99999999999999,0,0
0.07,20.94547759445548,105.35200879796079,1,0,0,0,291.03999999999996,51.99999999999999,0,0
0.07,19.6444957076771,104.4017892098209,1,0,0,0,276.7299999999999,48.99999999999998,0,0
0.07,18.650359132638275,103.63945355454015,1,0,0,0,262.4199999999999,45.99999999999997,0,0
0.07,20.27949915495735,102.64915803415765,1,1,0,0,248.10999999999984,42.99999999999997,0,0
0.07,20.235928276324515,101.52023174266701,1,1,0,0,233.79999999999984,39.99999999999997,0,0
0.07,19.787885882260987,101.26330135905239,1,1,0,0,219.48999999999984,36.999999999999964,0,0
0.07,18.2104774033225,100.19598706002006,1,1,0,0,205.1799999999999,33.99999999999997,0,0
0.08,18.234728572477263,99.27784106173314,1,1,0,0,190.8699999999999,30.99999999999997,0,0
0.08,18.301068485045874,98.37749847502832,1,1,0,0,176.55999999999983,27.99999999999997,0,0
0.08,19.548395384983653,97.7788549857165,1,1,0,0,162.24999999999983,24.99999999999997,0,0
0.08,19.842896357691636,96.77919673378962,1,1,0,0,147.93999999999988,21.99999999999997,0,0
0.08,18.919642810955764,95.50994455084691,1,1,0,0,133.62999999999988,18.99999999999997,0,0
0.08,18.761303405412217,94.87271135732519,1,1,0,0,119.31999999999988,15.999999999999972,0,0
0.08,18.150818920463614,93.83162228696452,1,1,0,0,105.00999999999982,12.999999999999972,0,0
0.08,20.09172900790632,92.82933584525678,1,1,0,0,90.69999999999987,9.999999999999972,0,0
0.08,20.52690731135065,92.11859748230235,1,1,0,0,76.38999999999987,6.999999999999972,0,0
0.08,20.300406807989358,92.02365771045667,1,1,0,0,62.07999999999987,3.9999999999999716,0,0
0.10,18.34132297547784,91.30950271716034,1,1,0,0,47.76999999999987,0.9999999999999716,0,0
