Time Elapsed (min),Stroke Rate,Average Power,Score,Misses,Handle Force,Handle Position,Raw Seat Position,Converted Seat Position,Left Foot Force,Right Foot Force
0.00,0,0,0,0,0,0,100.24000000000001,12.0,0,0
0.00,25.418326430840207,104.55954496148291,0,0,0,0,114.55000000000001,15.0,0,0
0.00,24.61713738015014,99.57814575834698,0,0,0,0,128.86,18.0,0,0
0.00,23.86137177514939,113.993795016855,0,0,0,0,143.16999999999996,21.0,0,0
0.00,24.717618111938375,118.9607738937439,0,0,0,0,157.48000000000002,24.0,0,0
0.00,26.008448696620437,112.96519455684489,0,0,0,0,171.79000000000002,27.0,0,0
0.00,25.984874799673893,112.76735443978284,0,0,0,0,186.10000000000002,30.0,0,0
0.00,27.241049105245548,115.26357256966642,0,0,0,0,200.40999999999997,33.0,0,0
0.00,26.24831989721458,110.85990917663929,0,0,0,0,214.71999999999997,36.0,0,0
0.00,25.53135153356903,110.28641471440122,0,0,0,0,229.03000000000003,39.0,0,0
0.02,24.243872372355614,110.07562813495174,0,0,0,0,243.34000000000003,42.00000000000001,0,0
0.02,25.084370137724612,109.29346091025808,0,0,0,0,257.65000000000003,45.00000000000001,0,0
0.02,23.251224723826223,108.12671033229597,0,0,0,0,271.96000000000004,48.00000000000001,0,0
0.02,22.96792896598123,111.15018421119414,0,0,0,0,286.27000000000004,51.00000000000001,0,0
0.02,22.412525400462545,112.43205304029894,0,0,0,0,300.58000000000004,54.00000000000001,0,0
0.02,21.990719845422326,114.56683520137398,0,0,0,0,314.89000000000004,57.000000000000014,0,0
0.02,20.683398452839455,116.41717949759065,0,0,0,0,329.20000000000005,60.00000000000001,0,0
0.02,22.615619848942348,119.37637503464124,0,0,0,0,343.51,63.0,0,0
0.02,23.033373023369677,121.58157932876338,0,0,0,0,357.82,66.0,0,0
0.02,21.740148669152063,123.73067322636614,0,0,0,0,372.13,69.0,0,0
0.03,20.453184740947428,124.26205744908455,1,0,0,0,386.44,72.0,0,0
0.03,21.054439404313378,127.39303922213414,1,0,0,0,400.75,75.0,0,0
0.03,20.92162355240591,128.91982249798082,1,0,0,0,415.06,78.0,0,0
0.03,20.991462209608542,130.94437456116552,1,0,0,0,429.37,81.0,0,0
0.03,22.718836107370706,133.461247218055,1,0,0,0,443.68,84.0,0,0
0.03,24.552946611923808,134.8175987840161,1,0,0,0,457.99,87.0,0,0
0.03,26.51395016873295,136.0736580773,1,0,0,0,472.3,90.0,0,0
0.03,26.875874892203722,137.0626864252993,1,0,0,0,486.61,93.0,0,0
0.03,26.892812846028132,138.602587796898,1,0,0,0,500.92,96.0,0,0
0.03,27.937970061467787,139.5832381090608,1,0,0,0,515.23,99.0,0,0
0.05,27.064781503236013,141.688555075851,1,0,0,0,520,100.0,0,0
0.05,28.975480966772956,138.5055200463469,1,0,0,0,505.69,97.0,0,0
0.05,27.04262813637648,135.4867475579482,1,0,0,0,491.38,94.0,0,0
0.05,25.169407301990475,134.3020587531713,1,0,0,0,477.07,91.0,0,0
0.05,25.81620105271184,131.19308291868992,1,0,0,0,462.76,88.0,0,0
0.05,25.455744730329677,129.8069018667584,1,0,0,0,448.45,85.0,0,0
0.05,25.479530197111302,128.760406307866,1,0,0,0,434.14,82.0,0,0
0.05,26.63523758723074,127.06975427687085,1,0,0,0,419.83,79.0,0,0
0.05,25.387286173956426,125.64286631234783,1,0,0,0,405.52,76.0,0,0
0.05,24.33304316050462,123.65430581212256,1,0,0,0,391.21,73.0,0,0
0.07,22.461390754297042,121.46505721847129,1,0,0,0,376.9,70.0,0,0
0.07,24.126987260799954,120.10082971541917,1,0,0,0,362.59000000000003,67.0,0,0
0.07,22.133758993759063,119.37990682282438,1,0,0,0,348.28,63.99999999999999,0,0
0.07,21.783700382706577,118.4048688262003,1,0,0,0,333.96999999999997,60.99999999999999,0,0
0.07,21.81522995814328,117.48522684614599,1,0,0,0,319.65999999999997,57.99999999999999,0,0
0.07,22.547801262793808,117.02824927159007,1,0,0,0,305.34999999999997,54.99999999999999,0,0
0.07,22.244070423287265,114.85717376312293,1,0,0,0,291.03999999999996,51.99999999999999,0,0
0.07,22.793319319639732,112.83183067416132,1,0,0,0,276.7299999999999,48.99999999999998,0,0
0.07,22.938727712013183,111.65742739158438,1,0,0,0,262.4199999999999,45.99999999999997,0,0
0.07,24.573564350321035,109.96112219139576,1,0,0,0,248.10999999999984,42.99999999999997,0,0
0.08,23.27878063269449,108.74731022915628,1,0,0,0,233.79999999999984,39.99999999999997,0,0
0.08,23.720972307880906,107.02901415192102,1,0,0,0,219.48999999999984,36.999999999999964,0,0
0.08,24.584739880198647,106.27895262041531,1,0,0,0,205.1799999999999,33.99999999999997,0,0
0.08,23.132581814453044,105.32469336429024,1,0,0,0,190.8699999999999,30.99999999999997,0,0
0.08,23.81295220711357,104.59764669212565,2,0,0,0,176.55999999999983,27.99999999999997,0,0
0.08,22.28749681416,103.79551660040089,2,0,0,0,162.24999999999983,24.99999999999997,0,0
0.08,22.97830554066732,102.76566610569128,2,0,0,0,147.93999999999988,21.99999999999997,0,0
0.08,23.281160212141003,102.18054145525196,2,1,0,0,133.62999999999988,18.99999999999997,0,0
0.08,21.463362273479994,101.57493937464399,2,1,0,0,119.31999999999988,15.999999999999972,0,0
0.08,23.329981079020833,100.51088488547384,2,1,0,0,105.00999999999982,12.999999999999972,0,0
0.10,23.408907571582418,99.95030421803833,2,1,0,0,90.69999999999987,9.999999999999972,0,0
0.10,22.940531743646677,98.93478519971269,2,1,0,0,76.38999999999987,6.999999999999972,0,0
0.10,22.350054670555664,97.86001719445092,2,1,0,0,62.07999999999987,3.9999999999999716,0,0
0.10,23.710812000854773,97.02602466197955,2,1,0,0,47.76999999999987,0.9999999999999716,0,0
0.10,24.47326516893845,96.27941976994109,2,1,0,0,43,0.0,0,0
0.10,25.84364020414634,96.39574526078177,2,1,0,0,57.31,3.0,0,0
0.10,24.225496109406922,96.89473925769691,2,1,0,0,71.62,6.0,0,0
0.10,25.55237722327485,96.46184869861979,2,1,0,0,85.93,9.0,0,0
0.10,26.414959195564425,96.61465803665789,2,1,0,0,100.24000000000001,12.0,0,0
0.10,28.394265548978954,97.01566259139527,2,1,0,0,114.55000000000001,15.0,0,0
0.12,30.036984339317403,96.93121001499549,2,1,0,0,128.86,18.0,0,0
0.12,28.063336943479,96.91339873088533,2,1,0,0,143.16999999999996,21.0,0,0
0.12,27.98840848966012,96.99716035996295,2,1,0,0,157.48000000000002,24.0,0,0
0.12,28.171241183563,97.54208733401175,2,1,0,0,171.79000000000002,27.0,0,0
0.12,27.188231463123,97.6060100292479,2,1,0,0,186.10000000000002,30.0,0,0
0.12,26.948734708117488,98.13090382412732,2,1,0,0,200.40999999999997,33.0,0,0
0.12,25.99056864099236,97.87052329272157,2,1,0,0,214.71999999999997,36.0,0,0
0.12,27.53646500356933,97.83401845559787,2,1,0,0,229.03000000000003,39.0,0,0
0.12,29.499441709219205,97.95728284120035,2,1,0,0,243.34000000000003,42.00000000000001,0,0
0.12,28.027946199231653,97.86502786333374,2,1,0,0,257.65000000000003,45.00000000000001,0,0
0.13,27.44655189797285,97.96755832874601,2,1,0,0,271.96000000000004,48.00000000000001,0,0
0.13,29.147514110791327,99.13993126321304,2,1,0,0,286.27000000000004,51.00000000000001,0,0
0.13,30.485661770734726,99.81598155478714,2,1,0,0,300.58000000000004,54.00000000000001,0,0
0.13,30.314316948675685,101.12187084213785,2,1,0,0,314.89000000000004,57.000000000000014,0,0
0.13,28.471540328139067,101.79361009504939,2,1,0,0,329.20000000000005,60.00000000000001,0,0
0.13,29.49218729862219,102.49946278584957,2,1,0,0,343.51,63.0,0,0
0.13,30.47620772795507,102.82781097397408,2,1,0,0,357.82,66.0,0,0
0.13,28.642054284559514,103.63351095953625,2,1,0,0,372.13,69.0,0,0
0.13,29.31670173049596,104.47544715006332,2,1,0,0,386.44,72.0,0,0
0.13,27.935197843945637,104.82136747595669,2,1,0,0,400.75,75.0,0,0
0.15,26.571125444125762,105.28779807101847,3,1,0,0,415.06,78.0,0,0
0.15,27.267790454328534,106.39713522262272,3,1,0,0,429.37,81.0,0,0
0.15,27.732494238769682,106.58082619166389,3,1,0,0,443.68,84.0,0,0
0.15,25.95661856011928,106.53994534233348,3,1,0,0,457.99,87.0,0,0
0.15,24.085369500500978,107.08000248724984,3,1,0,0,472.3,90.0,0,0
0.15,25.580748649801375,107.95640388348663,3,1,0,0,486.61,93.0,0,0
0.15,27.17604424849653,108.71615198571388,3,1,0,0,500.92,96.0,0,0
0.15,27.077229441875616,109.58204685624187,3,1,0,0,515.23,99.0,0,0
0.15,8.571428571428571,109.8562624911979,4,1,0,0,520,100.0,0,0
0.15,8.571428571428571,109.60321429875013,4,1,0,0,505.69,97.0,0,0
0.17,8.571428571428571,109.1638064447223,4,1,0,0,491.38,94.0,0,0
0.17,8.571428571428571,108.82219367815323,4,1,0,0,477.07,91.0,0,0
0.17,8.571428571428571,108.29107077363328,4,1,0,0,462.76,88.0,0,0
0.17,8.571428571428571,107.8653362846081,4,1,0,0,448.45,85.0,0,0
0.17,8.571428571428571,107.65185133930163,4,1,0,0,434.14,82.0,0,0
0.17,8.571428571428571,107.27573554271012,4,1,0,0,419.83,79.0,0,0
0.17,8.571428571428571,106.7475748852121,4,1,0,0,405.52,76.0,0,0
0.17,8.571428571428571,106.31468565392414,4,1,0,0,391.21,73.0,0,0
0.17,8.571428571428571,106.13240794338873,4,1,0,0,376.9,70.0,0,0
0.17,8.571428571428571,105.43400031410779,4,1,0,0,362.59000000000003,67.0,0,0
0.18,8.571428571428571,105.04976486596584,4,1,0,0,348.28,63.99999999999999,0,0
0.18,8.571428571428571,104.49687541108415,4,1,0,0,333.96999999999997,60.99999999999999,0,0
0.18,8.571428571428571,103.93839445799797,4,1,0,0,319.65999999999997,57.99999999999999,0,0
0.18,8.571428571428571,103.48301071243768,4,1,0,0,305.34999999999997,54.99999999999999,0,0
0.18,8.571428571428571,103.00266965878421,5,1,0,0,291.03999999999996,51.99999999999999,0,0
0.18,8.571428571428571,102.58961917533647,5,1,0,0,276.7299999999999,48.99999999999998,0,0
0.18,8.571428571428571,101.98297805656169,5,1,0,0,262.4199999999999,45.99999999999997,0,0
0.18,8.571428571428571,101.59527450812223,5,1,0,0,248.10999999999984,42.99999999999997,0,0
0.18,8.571428571428571,101.37636440270596,5,1,0,0,233.79999999999984,39.99999999999997,0,0
0.18,8.571428571428571,100.98527288094739,5,1,0,0,219.48999999999984,36.999999999999964,0,0
0.20,8.571428571428571,100.52335007559951,6,1,0,0,205.1799999999999,33.99999999999997,0,0
0.20,8.571428571428571,100.04110488989713,6,1,0,0,190.8699999999999,30.99999999999997,0,0
0.20,8.571428571428571,99.46352302171806,6,1,0,0,176.55999999999983,27.99999999999997,0,0
0.20,8.571428571428571,99.20838225575214,6,1,0,0,162.24999999999983,24.99999999999997,0,0
0.20,8.571428571428571,98.88156533642066,6,1,0,0,147.93999999999988,21.99999999999997,0,0
0.20,8.571428571428571,98.58441570191353,6,1,0,0,133.62999999999988,18.99999999999997,0,0
0.20,8.571428571428571,98.12001086898164,6,1,0,0,119.31999999999988,15.999999999999972,0,0
0.20,8.571428571428571,97.63528300743846,6,1,0,0,105.00999999999982,12.999999999999972,0,0
0.20,8.571428571428571,97.29406316574007,6,1,0,0,90.69999999999987,9.999999999999972,0,0
0.20,8.571428571428571,96.93178928845963,6,1,0,0,76.38999999999987,6.999999999999972,0,0
0.22,8.571428571428571,96.53883802098873,6,1,0,0,62.07999999999987,3.9999999999999716,0,0
0.22,8.571428571428571,96.31776936939166,6,1,0,0,47.76999999999987,0.9999999999999716,0,0
0.22,8.571428571428571,96.13105696207542,7,1,0,0,43,0.0,0,0
0.22,8.571428571428571,96.13246204030028,7,1,0,0,57.31,3.0,0,0
0.22,8.571428571428571,96.20489817306401,7,1,0,0,71.62,6.0,0,0
0.22,8.571428571428571,96.44037679719307,7,1,0,0,85.93,9.0,0,0
0.22,8.571428571428571,96.77350437289697,7,1,0,0,100.24000000000001,12.0,0,0
0.22,8.571428571428571,96.5816517673199,8,1,0,0,114.55000000000001,15.0,0,0
0.22,8.571428571428571,96.54696644925093,8,1,0,0,128.86,18.0,0,0
0.22,8.571428571428571,96.80785600647577,8,1,0,0,143.16999999999996,21.0,0,0
0.23,8.571428571428571,97.04460217430555,8,1,0,0,157.48000000000002,24.0,0,0
0.23,8.571428571428571,97.10866007818157,8,1,0,0,171.79000000000002,27.0,0,0
0.23,8.571428571428571,97.57544949541715,8,1,0,0,186.10000000000002,30.0,0,0
0.23,8.571428571428571,97.79547688095191,8,1,0,0,200.40999999999997,33.0,0,0
0.23,8.571428571428571,97.87215302453265,8,1,0,0,214.71999999999997,36.0,0,0
0.23,8.571428571428571,98.12326603067815,8,1,0,0,229.03000000000003,39.0,0,0
0.23,8.571428571428571,97.93332506137386,8,1,0,0,243.34000000000003,42.00000000000001,0,0
0.23,8.571428571428571,98.06712761024876,8,1,0,0,257.65000000000003,45.00000000000001,0,0
0.23,8.571428571428571,98.47023771504233,8,1,0,0,271.96000000000004,48.00000000000001,0,0
0.23,8.571428571428571,98.5772434876645,8,1,0,0,286.27000000000004,51.00000000000001,0,0
0.25,8.571428571428571,98.67590969919993,8,1,0,0,300.58000000000004,54.00000000000001,0,0
0.25,8.571428571428571,99.3451502292283,8,1,0,0,314.89000000000004,57.000000000000014,0,0
0.25,8.571428571428571,99.68172729606373,8,1,0,0,329.20000000000005,60.00000000000001,0,0
0.25,8.571428571428571,99.78752034530733,8,1,0,0,343.51,63.0,0,0
0.25,8.571428571428571,100.33302448024361,8,1,0,0,357.82,66.0,0,0
0.25,8.571428571428571,100.42754832934149,8,1,0,0,372.13,69.0,0,0
0.25,8.571428571428571,100.90799947512912,8,1,0,0,386.44,72.0,0,0
0.25,8.571428571428571,100.96791239236836,8,1,0,0,400.75,75.0,0,0
0.25,8.571428571428571,101.25519761215706,8,1,0,0,415.06,78.0,0,0
0.25,8.571428571428571,101.4954433887647,8,1,0,0,429.37,81.0,0,0
0.27,8.571428571428571,101.55558530962769,8,1,0,0,443.68,84.0,0,0
0.27,8.571428571428571,101.96321168517456,8,1,0,0,457.99,87.0,0,0
0.27,8.571428571428571,102.4275509303029,8,1,0,0,472.3,90.0,0,0
0.27,8.571428571428571,102.534488478136,8,1,0,0,486.61,93.0,0,0
0.27,8.571428571428571,102.87802904383403,8,1,0,0,500.92,96.0,0,0
0.27,8.571428571428571,103.37100404141364,8,1,0,0,515.23,99.0,0,0
0.27,8.571428571428571,103.57652606045393,8,1,0,0,520,100.0,0,0
0.27,8.571428571428571,103.29111201039265,8,1,0,0,505.69,97.0,0,0
0.27,8.571428571428571,102.97420321371757,8,1,0,0,491.38,94.0,0,0
0.27,8.571428571428571,102.87784185403491,8,1,0,0,477.07,91.0,0,0
0.28,8.571428571428571,102.70039260800931,8,1,0,0,462.76,88.0,0,0
0.28,8.571428571428571,102.6419615222445,8,1,0,0,448.45,85.0,0,0
0.28,8.571428571428571,102.27248658281385,8,1,0,0,434.14,82.0,0,0
0.28,8.571428571428571,102.05020222897934,8,1,0,0,419.83,79.0,0,0
0.28,8.571428571428571,101.63245551141046,8,1,0,0,405.52,76.0,0,0
0.28,8.571428571428571,101.2865060017181,8,1,0,0,391.21,73.0,0,0
0.28,8.571428571428571,100.85936244529609,8,1,0,0,376.9,70.0,0,0
0.28,8.571428571428571,100.68585670424476,8,1,0,0,362.59000000000003,67.0,0,0
0.28,8.571428571428571,100.42756839539265,8,1,0,0,348.28,63.99999999999999,0,0
0.28,8.571428571428571,100.19765268729877,8,1,0,0,333.96999999999997,60.99999999999999,0,0
0.30,8.571428571428571,99.83560039817645,8,1,0,0,319.65999999999997,57.99999999999999,0,0
0.30,8.571428571428571,99.75890951358723,8,1,0,0,305.34999999999997,54.99999999999999,0,0
0.30,8.571428571428571,99.51123691285497,9,1,0,0,291.03999999999996,51.99999999999999,0,0
0.30,8.571428571428571,99.28667452184266,9,1,0,0,276.7299999999999,48.99999999999998,0,0
0.30,8.571428571428571,99.00034476013508,9,1,0,0,262.4199999999999,45.99999999999997,0,0
0.30,8.571428571428571,98.81295189745884,10,1,0,0,248.10999999999984,42.99999999999997,0,0
0.30,8.571428571428571,98.65272891412879,10,1,0,0,233.79999999999984,39.99999999999997,0,0
0.30,8.571428571428571,98.24339389126642,10,1,0,0,219.48999999999984,36.999999999999964,0,0
0.30,8.571428571428571,98.11202751504491,10,1,0,0,205.1799999999999,33.99999999999997,0,0
0.30,8.571428571428571,97.83214509331079,10,2,0,0,190.8699999999999,30.99999999999997,0,0
0.32,8.571428571428571,97.44016413444216,10,2,0,0,176.55999999999983,27.99999999999997,0,0
0.32,8.571428571428571,97.1170459418492,10,2,0,0,162.24999999999983,24.99999999999997,0,0
0.32,8.571428571428571,96.72850815725045,10,2,0,0,147.93999999999988,21.99999999999997,0,0
0.32,8.571428571428571,96.50555727193719,10,2,0,0,133.62999999999988,18.99999999999997,0,0
0.32,8.571428571428571,96.46495404306594,10,2,0,0,119.31999999999988,15.999999999999972,0,0
0.32,8.571428571428571,96.40633359533706,10,2,0,0,105.00999999999982,12.999999999999972,0,0
0.32,8.571428571428571,96.15111581270425,10,2,0,0,90.69999999999987,9.999999999999972,0,0
0.32,8.571428571428571,96.00309340496155,10,2,0,0,76.38999999999987,6.999999999999972,0,0
0.32,8.571428571428571,95.79946041946978,10,2,0,0,62.07999999999987,3.9999999999999716,0,0
0.32,8.571428571428571,95.5473237765962,10,2,0,0,47.76999999999987,0.9999999999999716,0,0
0.33,8.571428571428571,95.27736405736917,10,2,0,0,43,0.0,0,0
0.33,8.571428571428571,95.20743160021308,10,2,0,0,57.31,3.0,0,0
0.33,8.571428571428571,95.1869365186628,10,2,0,0,71.62,6.0,0,0
0.33,8.571428571428571,95.2471741475687,10,2,0,0,85.93,9.0,0,0
0.33,8.571428571428571,95.51114750873909,10,2,0,0,100.24000000000001,12.0,0,0
0.33,8.571428571428571,95.84301456291215,10,2,0,0,114.55000000000001,15.0,0,0
0.33,8.571428571428571,95.90070014166449,10,2,0,0,128.86,18.0,0,0
0.33,8.571428571428571,96.07244461167441,10,2,0,0,143.16999999999996,21.0,0,0
0.33,8.571428571428571,96.10637516736614,10,2,0,0,157.48000000000002,24.0,0,0
