Time Elapsed (min),Stroke Rate,Average Power,Score,Misses,Handle Force,Handle Position,Raw Seat Position,Converted Seat Position,Left Foot Force,Right Foot Force
0.00,0,0,0,0,0,0,143.16999999999996,21.0,0,0
0.00,25.225877831198158,130.74747510146463,0,0,0,0,157.48000000000002,24.0,0,0
0.00,26.585780644344002,119.71263090162678,0,0,0,0,171.79000000000002,27.0,0,0
0.00,25.43685434957698,111.19552106027908,0,0,0,0,186.10000000000002,30.0,0,0
0.00,25.073062464551438,109.58071767319666,0,1,0,0,200.40999999999997,33.0,0,0
0.00,23.33632847593683,105.51236409673085,0,1,0,0,214.71999999999997,36.0,0,0
0.00,23.690655197893978,110.59145564818185,0,1,0,0,229.03000000000003,39.0,0,0
0.00,24.872482518126166,114.54190839236158,0,1,0,0,243.34000000000003,42.00000000000001,0,0
0.00,26.859243847098043,113.98682383484503,0,1,0,0,257.65000000000003,45.00000000000001,0,0
0.00,26.39285561189202,113.55561480886001,0,1,0,0,271.96000000000004,48.00000000000001,0,0
0.02,25.463945604931148,115.66766914956311,0,1,0,0,286.27000000000004,51.00000000000001,0,0
0.02,25.521557815095473,118.67780720104552,0,1,0,0,300.58000000000004,54.00000000000001,0,0
0.02,23.86008876441794,120.2402045749822,0,1,0,0,314.89000000000004,57.000000000000014,0,0
0.02,22.825763903284724,123.11557314309387,0,1,0,0,329.20000000000005,60.00000000000001,0,0
0.02,22.241693107933372,123.46136392073646,0,1,0,0,343.51,63.0,0,0
0.02,23.974735150678452,127.19775612205314,0,1,0,0,357.82,66.0,0,0
0.02,22.044343228784943,128.5389575822382,0,1,0,0,372.13,69.0,0,0
0.02,22.125201289814534,127.87761814311642,0,1,0,0,386.44,72.0,0,0
0.02,22.768459601047663,127.35863790933973,0,1,0,0,400.75,75.0,0,0
0.02,22.930363912389268,130.92121671528432,0,1,0,0,415.06,78.0,0,0
0.03,22.16620421197374,130.36489442845934,0,1,0,0,429.37,81.0,0,0
0.03,20.39819276438675,133.92173897498486,0,1,0,0,443.68,84.0,0,0
