Time Elapsed (min),Stroke Rate,Average Power,Score,Misses,Handle Force,Handle Position,Raw Seat Position,Converted Seat Position,Left Foot Force,Right Foot Force
0.00,0,0,0,0,0,0,85.93,9.0,0,0
0.00,22.350793070772397,125.57127208259445,0,0,0,0,100.24000000000001,12.0,0,0
0.00,22.964615023835563,124.59265468011597,0,0,0,0,114.55000000000001,15.0,0,0
0.00,23.57843697689873,124.10334597887675,0,0,0,0,128.86,18.0,0,0
0.00,24.192258929961895,123.80976075813321,0,0,0,0,143.16999999999996,21.0,0,0
0.00,24.80608088302506,123.61403727763752,0,0,0,0,157.48000000000002,24.0,0,0
0.00,25.419902836088227,123.47423479156917,0,0,0,0,171.79000000000002,27.0,0,0
0.00,26.033724789151393,123.36938292701791,0,0,0,0,186.10000000000002,30.0,0,0
0.00,26.64754674221456,123.28783147681136,0,0,0,0,200.40999999999997,33.0,0,0
0.00,27.261368695277724,123.22259031664612,0,0,0,0,214.71999999999997,36.0,0,0
0.02,27.87519064834089,123.16921118560184,0,0,0,0,229.03000000000003,39.0,0,0
0.02,28.489012601404056,123.12472857639825,0,0,0,0,243.34000000000003,42.00000000000001,0,0
0.02,29.102834554467222,123.08708944553369,0,0,0,0,257.65000000000003,45.00000000000001,0,0
0.02,29.716656507530388,123.05482733336407,0,0,0,0,271.96000000000004,48.00000000000001,0,0
0.02,30.330478460593554,126.26942466839681,0,0,0,0,286.27000000000004,51.00000000000001,0,0
0.02,30.94430041365672,129.08219733655045,0,0,0,0,300.58000000000004,54.00000000000001,0,0
0.02,31.558122366719886,131.5640555731566,0,0,0,0,314.89000000000004,57.000000000000014,0,0
0.02,32.17194431978305,133.77015178347315,0,0,0,0,329.20000000000005,60.00000000000001,0,0
0.02,32.78576627284622,135.7440273400722,0,0,0,0,343.51,63.0,0,0
0.02,33.39958822590938,137.52051534101133,0,0,0,0,357.82,66.0,0,0
0.03,34.01341017897255,139.12781400852768,0,0,0,0,372.13,69.0,0,0
0.03,34.627232132035715,140.58899461536075,0,0,0,0,386.44,72.0,0,0
0.03,35,141.9231160389909,0,0,0,0,400.75,75.0,0,0
0.03,35,143.1460606773186,0,0,0,0,415.06,78.0,0,0
0.03,35,144.27116974458005,0,0,0,0,429.37,81.0,0,0
0.03,35,145.3097319605137,0,0,0,0,443.68,84.0,0,0
0.03,35,146.27136364193373,0,0,0,0,457.99,87.0,0,0
0.03,35,147.1643073461095,0,0,0,0,472.3,90.0,0,0
0.03,35,147.99566872585933,0,0,0,0,486.61,93.0,0,0
0.03,35,148.77160601362584,0,0,0,0,500.92,96.0,0,0
0.05,35,149.4974828312139,0,0,0,0,515.23,99.0,0,0
0.05,35,150.17799234770266,0,0,0,0,520,100.0,0,0
0.05,35,147.30468000103795,0,0,0,0,505.69,97.0,0,0
0.05,35,144.60038602770646,0,0,0,0,491.38,94.0,0,0
0.05,35,142.05062313856536,0,0,0,0,477.07,91.0,0,0
0.05,35,139.6425137432654,0,0,0,0,462.76,88.0,0,0
0.05,35,137.36457242338707,0,0,0,0,448.45,85.0,0,0
0.05,35,135.20652275192342,0,0,0,0,434.14,82.0,0,0
0.05,35,133.15914229438093,0,0,0,0,419.83,79.0,0,0
0.05,35,131.2141308597156,0,0,0,0,405.52,76.0,0,0
0.07,35,129.3639980316193,0,0,0,0,391.21,73.0,0,0
0.07,35,127.60196676676568,0,0,0,0,376.9,70.0,0,0
0.07,35,125.9218904444634,0,0,0,0,362.59000000000003,67.0,0,0
0.07,35,124.3181812277203,0,0,0,0,348.28,63.99999999999999,0,0
0.07,35,122.7857479761658,0,0,0,0,333.96999999999997,60.99999999999999,0,0
