Time Elapsed (min),Stroke Rate,Average Power,Score,Misses,Handle Force,Handle Position,Raw Seat Position,Converted Seat Position,Left Foot Force,Right Foot Force
0.00,0,0,0,0,0,0,186.10000000000002,30.0,0,0
0.00,23.75797675063637,109.2899595241322,0,0,0,0,200.40999999999997,33.0,0,0
0.00,22.853038841785715,118.09385587470483,0,0,0,0,214.71999999999997,36.0,0,0
0.00,24.7041700713956,113.51173564710672,0,1,0,0,229.03000000000003,39.0,0,0
0.00,22.811402895694982,117.625920322919,0,1,0,0,243.34000000000003,42.00000000000001,0,0
0.00,23.169448047204693,112.54968574637395,0,1,0,0,257.65000000000003,45.00000000000001,0,0
0.00,21.87410638654837,114.58596326305063,0,1,0,0,271.96000000000004,48.00000000000001,0,0
0.00,20.571304022312816,117.38170518312617,0,1,0,0,286.27000000000004,51.00000000000001,0,0
0.00,21.16336546356876,118.28623424495214,0,1,0,0,300.58000000000004,54.00000000000001,0,0
0.00,21.603971239881833,126.59411163151765,0,1,0,0,314.89000000000004,57.000000000000014,0,0
0.02,20.538050897718044,127.78534694989254,0,1,0,0,329.20000000000005,60.00000000000001,0,0
