Time Elapsed (min),Stroke Rate,Average Power,Score,Misses,Handle Force (ai20),Handle Position (ai21),Raw Seat Position (ai22),Converted Seat Position,Left Foot Force (ai16),Right Foot Force (ai18)
0.00,0,0,0,0,0,0,85.93,9.0,0,0
0.00,24.836928234704576,128.48096733322058,0,0,0,0,100.24000000000001,12.0,0,0
0.00,23.885357354150965,115.43417540748312,0,0,0,0,114.55000000000001,15.0,0,0
0.00,23.495793510458153,106.63150658891516,0,0,0,0,128.86,18.0,0,0
0.00,24.80712917679294,109.1829920220528,0,0,0,0,143.16999999999996,21.0,0,0
0.00,25.19701805375069,112.52382218485259,0,0,0,0,157.48000000000002,24.0,0,0
0.00,27.012176378258047,111.49241274396498,0,0,0,0,171.79000000000002,27.0,0,0
0.00,26.51770240034161,112.85283871318188,0,0,0,0,186.10000000000002,30.0,0,0
0.00,25.445146357323708,117.41235439814474,0,1,0,0,200.40999999999997,33.0,0,0
0.00,26.36944954023474,120.77261795360134,0,1,0,0,214.71999999999997,36.0,0,0
0.02,27.55924448756307,117.08116568938026,0,1,0,0,229.03000000000003,39.0,0,0
0.02,27.016273734316822,114.91063817423066,0,1,0,0,243.34000000000003,42.00000000000001,0,0
0.02,28.951025797413152,113.18007326612168,0,1,0,0,257.65000000000003,45.00000000000001,0,0
0.02,27.938886420371674,111.36041338116604,0,1,0,0,271.96000000000004,48.00000000000001,0,0
0.02,26.17238780443681,112.5946540315478,0,1,0,0,286.27000000000004,51.00000000000001,0,0
0.02,26.610875220518725,115.0930234860325,0,1,0,0,300.58000000000004,54.00000000000001,0,0
0.02,28.610323697523334,119.34511599517258,0,1,0,0,314.89000000000004,57.000000000000014,0,0
0.02,28.97635734763738,121.28340712617202,0,1,0,0,329.20000000000005,60.00000000000001,0,0
0.02,28.293108659341033,123.07789307017892,0,1,0,0,343.51,63.0,0,0
0.02,28.920660950190257,125.27877267801128,0,1,0,0,357.82,66.0,0,0
0.03,29.389794810849132,128.10581648913154,0,1,0,0,372.13,69.0,0,0
0.03,28.91053119382442,130.88596817606498,0,1,0,0,386.44,72.0,0,0
0.03,26.973377281473155,132.07297665213275,0,1,0,0,400.75,75.0,0,0
0.03,25.52606671562909,132.42806510096008,0,1,0,0,415.06,78.0,0,0
0.03,25.266206205292736,132.17126059584544,0,1,0,0,429.37,81.0,0,0
0.03,25.442484567181783,133.77120081605196,0,1,0,0,443.68,84.0,0,0
0.03,24.2243006453885,135.11604389247816,0,1,0,0,457.99,87.0,0,0
0.03,22.95578034386041,134.4507859454099,0,1,0,0,472.3,90.0,0,0
0.03,21.31802211372737,135.96533695893518,0,1,0,0,486.61,93.0,0,0
0.03,20.470307118741243,136.11751775419992,0,1,0,0,500.92,96.0,0,0
0.05,21.174728747297152,136.82230034827174,0,1,0,0,515.23,99.0,0,0
0.05,21.595817877149557,136.04810141478646,0,1,0,0,520,100.0,0,0
0.05,20.166279833921873,133.51232887649968,0,1,0,0,505.69,97.0,0,0
0.05,18.834612354801756,131.0480148057798,0,1,0,0,491.38,94.0,0,0
0.05,19.79598486639222,129.39596485637594,0,1,0,0,477.07,91.0,0,0
0.05,19.776462811847452,127.5103771575098,0,1,0,0,462.76,88.0,0,0
0.05,21.70252875338948,125.90114338893531,0,1,0,0,448.45,85.0,0,0
0.05,22.117473237713675,124.94501004488848,0,1,0,0,434.14,82.0,0,0
0.05,24.039251852904247,123.07762245582259,0,1,0,0,419.83,79.0,0,0
0.05,22.830893504001434,122.15726354841422,0,1,0,0,405.52,76.0,0,0
0.07,22.00806806543252,119.56717050608053,0,1,0,0,391.21,73.0,0,0
0.07,23.945241978029806,117.58820166037594,0,1,0,0,376.9,70.0,0,0
0.07,22.430317388609534,116.69376766058524,0,1,0,0,362.59000000000003,67.0,0,0
0.07,22.302402459095152,115.53042570883487,0,1,0,0,348.28,63.99999999999999,0,0
0.07,22.94223617409037,114.25334223527396,0,1,0,0,333.96999999999997,60.99999999999999,0,0
0.07,22.09807931659633,112.37185108890573,0,1,0,0,319.65999999999997,57.99999999999999,0,0
0.07,20.34366322315086,111.45445453720366,0,1,0,0,305.34999999999997,54.99999999999999,0,0
0.07,21.707471900998847,109.61605846438147,0,1,0,0,291.03999999999996,51.99999999999999,0,0
0.07,22.544376511742602,108.45709335062236,0,1,0,0,276.7299999999999,48.99999999999998,0,0
0.07,21.489747337677038,107.91382689172228,0,1,0,0,262.4199999999999,45.99999999999997,0,0
0.08,19.721114620186246,106.84362299578038,0,1,0,0,248.10999999999984,42.99999999999997,0,0
0.08,19.255508376566866,105.64723043952465,0,1,0,0,233.79999999999984,39.99999999999997,0,0
0.08,18.635782758827208,104.66967779005178,0,1,0,0,219.48999999999984,36.999999999999964,0,0
0.08,19.440790838654387,104.26571825850407,0,1,0,0,205.1799999999999,33.99999999999997,0,0
0.08,18.434046706070596,102.7789678265041,0,1,0,0,190.8699999999999,30.99999999999997,0,0
0.08,18.756243489259745,102.04278249821866,0,1,0,0,176.55999999999983,27.99999999999997,0,0
0.08,19.150229223121997,101.2377515523978,0,1,0,0,162.24999999999983,24.99999999999997,0,0
0.08,18.961937679073976,100.48423520761426,0,1,0,0,147.93999999999988,21.99999999999997,0,0
0.08,20.79756867888282,99.71430520578699,0,1,0,0,133.62999999999988,18.99999999999997,0,0
