Time Elapsed (min),Stroke Rate,Average Power,Score,Misses,Handle Force,Handle Position,Raw Seat Position,Converted Seat Position,Left Foot Force,Right Foot Force
0.00,0,0,0,0,0,0,128.86,18.0,0,0
0.00,23.294374530077093,112.32613315645085,0,0,0,0,143.16999999999996,21.0,0,0
0.00,24.930715062453814,105.15055908456522,0,0,0,0,157.48000000000002,24.0,0,0
0.00,26.641579491993404,107.90660565904167,0,0,0,0,171.79000000000002,27.0,0,0
0.00,26.303621941013944,103.17409191200936,0,0,0,0,186.10000000000002,30.0,0,0
0.00,25.045426184883112,102.76574700100265,0,0,0,0,200.40999999999997,33.0,0,0
0.00,25.598889889596972,98.66342296325764,0,0,0,0,214.71999999999997,36.0,0,0
0.00,25.031384573001816,99.32572292850864,0,0,0,0,229.03000000000003,39.0,0,0
0.00,25.920678209348868,102.50470937204592,0,0,0,0,243.34000000000003,42.00000000000001,0,0
0.00,25.24290459231179,107.7901612558012,0,0,0,0,257.65000000000003,45.00000000000001,0,0
0.02,25.44795613588997,109.63353387746571,0,0,0,0,271.96000000000004,48.00000000000001,0,0
0.02,27.327918775851654,114.30511836340344,0,0,0,0,286.27000000000004,51.00000000000001,0,0
0.02,26.467440766516013,116.10094008169742,0,0,0,0,300.58000000000004,54.00000000000001,0,0
0.02,25.118824896099238,118.30318334387553,0,0,0,0,314.89000000000004,57.000000000000014,0,0
0.02,23.48182971495539,121.9950859165431,0,0,0,0,329.20000000000005,60.00000000000001,0,0
0.02,22.15014039794152,122.86002123630611,0,0,0,0,343.51,63.0,0,0
0.02,21.91591903035634,124.1675269316904,0,0,0,0,357.82,66.0,0,0
0.02,22.92213283155135,124.66107500492573,1,0,0,0,372.13,69.0,0,0
0.02,23.58622568261866,127.6377263592969,1,0,0,0,386.44,72.0,0,0
0.02,24.682538867104896,128.23075736748928,1,0,0,0,400.75,75.0,0,0
0.03,24.279211671286376,131.33956622305777,1,0,0,0,415.06,78.0,0,0
0.03,22.541924856477216,130.77416819157915,1,0,0,0,429.37,81.0,0,0
0.03,21.71882145236748,133.3568625134771,1,0,0,0,443.68,84.0,0,0
0.03,20.769133086366796,134.1093991005521,1,0,0,0,457.99,87.0,0,0
0.03,21.69522289001569,135.59093889246316,1,0,0,0,472.3,90.0,0,0
0.03,22.06984408502565,135.89207071415774,1,0,0,0,486.61,93.0,0,0
0.03,22.813325104766363,137.32026211117196,1,0,0,0,500.92,96.0,0,0
0.03,22.287641782953177,137.0050453929816,1,0,0,0,515.23,99.0,0,0
0.03,21.974233413741267,137.52202090418956,1,0,0,0,520,100.0,0,0
0.03,23.74312895815254,135.47991843655848,1,0,0,0,505.69,97.0,0,0
0.05,25.360402305456937,132.9750846241599,1,0,0,0,491.38,94.0,0,0
0.05,25.23353716464783,131.04833326249067,2,0,0,0,477.07,91.0,0,0
0.05,26.92346040517508,128.0395258355692,2,0,0,0,462.76,88.0,0,0
0.05,26.652811926622576,127.06020062806438,2,0,0,0,448.45,85.0,0,0
0.05,28.463914997725688,124.55992219333537,2,0,0,0,434.14,82.0,0,0
0.05,27.939466567580762,123.17124053070496,2,0,0,0,419.83,79.0,0,0
0.05,28.606533604846064,121.16730429201502,2,0,0,0,405.52,76.0,0,0
0.05,29.809057056819707,119.20632195677018,2,0,0,0,391.21,73.0,0,0
0.05,31.32737920271711,117.8471534222111,2,0,0,0,376.9,70.0,0,0
0.05,31.349874987954262,115.93499283259943,2,0,0,0,362.59000000000003,67.0,0,0
0.07,31.875283837819474,113.96716775916586,2,0,0,0,348.28,63.99999999999999,0,0
0.07,32.46218236668091,112.33352331621543,2,0,0,0,333.96999999999997,60.99999999999999,0,0
0.07,32.531936787377276,111.15176399569246,2,0,0,0,319.65999999999997,57.99999999999999,0,0
0.07,32.80061024321959,109.33222271023364,2,0,0,0,305.34999999999997,54.99999999999999,0,0
0.07,33.19839149184117,107.51672230466255,2,0,0,0,291.03999999999996,51.99999999999999,0,0
0.07,32.83513319432194,105.96528235549404,2,0,0,0,276.7299999999999,48.99999999999998,0,0
0.07,33.36244981686464,104.1429583996371,2,0,0,0,262.4199999999999,45.99999999999997,0,0
0.07,32.35245432965512,103.44046478416168,2,0,0,0,248.10999999999984,42.99999999999997,0,0
0.07,33.29207516698491,102.22643426485853,2,0,0,0,233.79999999999984,39.99999999999997,0,0
0.07,32.05471481735404,101.39224446082181,2,0,0,0,219.48999999999984,36.999999999999964,0,0
0.08,32.201855066859224,100.54144283379028,2,0,0,0,205.1799999999999,33.99999999999997,0,0
0.08,31.35929653432237,99.52723173396285,2,0,0,0,190.8699999999999,30.99999999999997,0,0
0.08,30.44782106145757,99.25527674932985,2,0,0,0,176.55999999999983,27.99999999999997,0,0
0.08,31.218126838127002,98.43147088249523,2,0,0,0,162.24999999999983,24.99999999999997,0,0
0.08,31.58683854698144,97.7411820162188,2,0,0,0,147.93999999999988,21.99999999999997,0,0
0.08,30.709408447383368,96.24403574036448,2,0,0,0,133.62999999999988,18.99999999999997,0,0
0.08,31.485949756873993,95.14947501371161,2,0,0,0,119.31999999999988,15.999999999999972,0,0
0.08,33.25882592824509,94.16375855838147,2,0,0,0,105.00999999999982,12.999999999999972,0,0
0.08,31.402726099148065,93.0086268237105,2,0,0,0,90.69999999999987,9.999999999999972,0,0
0.08,29.594289551206796,91.93788730415089,3,0,0,0,76.38999999999987,6.999999999999972,0,0
0.10,28.725491420755656,91.18838428439638,3,0,0,0,62.07999999999987,3.9999999999999716,0,0
0.10,27.461121972670753,90.5324394481077,3,0,0,0,47.76999999999987,0.9999999999999716,0,0
0.10,28.21334610043631,89.33437006671906,3,0,0,0,43,0.0,0,0
0.10,28.884273581539315,89.58622916258429,4,0,0,0,57.31,3.0,0,0
0.10,30.03828823360036,90.18553532212366,4,0,0,0,71.62,6.0,0,0
0.10,31.75838209375994,90.1745172102153,4,0,0,0,85.93,9.0,0,0
0.10,31.796229229920023,90.52298855406664,4,0,0,0,100.24000000000001,12.0,0,0
0.10,32.968512086468955,90.6066011732246,4,0,0,0,114.55000000000001,15.0,0,0
0.10,33.02864675486237,90.7675665816009,4,0,0,0,128.86,18.0,0,0
0.10,32.98780094454411,91.29890900309604,4,0,0,0,143.16999999999996,21.0,0,0
0.12,33.72418997187224,91.22671038134716,4,0,0,0,157.48000000000002,24.0,0,0
0.12,34.46137178052423,91.47105808012675,5,0,0,0,171.79000000000002,27.0,0,0
0.12,34.093730842896846,91.50626751039218,5,0,0,0,186.10000000000002,30.0,0,0
0.12,33.327416708293995,92.289592423887,5,0,0,0,200.40999999999997,33.0,0,0
0.12,32.28196136597917,93.10124851165351,5,0,0,0,214.71999999999997,36.0,0,0
0.12,30.534727949901,93.0976475571451,5,0,0,0,229.03000000000003,39.0,0,0
0.12,31.82807464550993,93.14677100643503,5,0,0,0,243.34000000000003,42.00000000000001,0,0
0.12,31.779383238801625,93.83406885768679,5,0,0,0,257.65000000000003,45.00000000000001,0,0
0.12,29.87192390018719,93.58771781506827,6,0,0,0,271.96000000000004,48.00000000000001,0,0
0.12,31.547868517601817,94.44190571739901,6,0,0,0,286.27000000000004,51.00000000000001,0,0
0.13,33.244998435528224,95.46101210398398,6,0,0,0,300.58000000000004,54.00000000000001,0,0
0.13,32.51901136290773,96.04691474594574,6,0,0,0,314.89000000000004,57.000000000000014,0,0
0.13,32.69290249410555,96.52851134971884,6,0,0,0,329.20000000000005,60.00000000000001,0,0
0.13,30.889320241199666,97.81213233938897,6,0,0,0,343.51,63.0,0,0
0.13,29.412170057187293,98.2024398964594,6,0,0,0,357.82,66.0,0,0
0.13,28.12186676653836,99.52068815602863,6,0,0,0,372.13,69.0,0,0
0.13,29.24742516852272,100.71855234236135,6,0,0,0,386.44,72.0,0,0
0.13,29.63437007507268,101.14292917888788,6,0,0,0,400.75,75.0,0,0
0.13,30.423998467957,102.04270987740193,6,0,0,0,415.06,78.0,0,0
0.13,31.49517452589438,102.73172402834983,6,0,0,0,429.37,81.0,0,0
0.15,32.42967577687968,103.52395829609962,6,0,0,0,443.68,84.0,0,0
0.15,34.041853641345675,104.27498342478138,6,0,0,0,457.99,87.0,0,0
0.15,33.43799133548947,104.719874530712,6,0,0,0,472.3,90.0,0,0
0.15,32.430675425620215,105.1911016009304,6,0,0,0,486.61,93.0,0,0
0.15,31.653866798262833,105.30451872814177,6,0,0,0,500.92,96.0,0,0
0.15,32.79046362279398,106.29122807286221,7,0,0,0,515.23,99.0,0,0
0.15,8.571428571428571,106.6546512429283,7,0,0,0,520,100.0,0,0
0.15,8.571428571428571,106.39045563546537,7,0,0,0,505.69,97.0,0,0
0.15,8.571428571428571,106.12359589494373,7,0,0,0,491.38,94.0,0,0
0.15,8.571428571428571,105.37018277752568,7,0,0,0,477.07,91.0,0,0
0.17,8.571428571428571,104.94693656409126,7,0,0,0,462.76,88.0,0,0
0.17,8.571428571428571,104.21731588841523,7,0,0,0,448.45,85.0,0,0
0.17,8.571428571428571,103.72582883484661,7,0,0,0,434.14,82.0,0,0
0.17,8.571428571428571,103.58057616569363,7,0,0,0,419.83,79.0,0,0
0.17,8.571428571428571,103.4373353973076,7,0,0,0,405.52,76.0,0,0
0.17,8.571428571428571,102.96653008190283,7,0,0,0,391.21,73.0,0,0
0.17,8.571428571428571,102.81822648132766,7,0,0,0,376.9,70.0,0,0
0.17,8.571428571428571,102.02479434522785,7,0,0,0,362.59000000000003,67.0,0,0
0.17,8.571428571428571,101.63466184354027,7,0,0,0,348.28,63.99999999999999,0,0
0.17,8.571428571428571,101.38833527823049,7,0,0,0,333.96999999999997,60.99999999999999,0,0
0.18,8.571428571428571,101.00095380369834,7,0,0,0,319.65999999999997,57.99999999999999,0,0
0.18,8.571428571428571,100.52533520756946,7,0,0,0,305.34999999999997,54.99999999999999,0,0
0.18,8.571428571428571,100.13810970098383,7,0,0,0,291.03999999999996,51.99999999999999,0,0
0.18,8.571428571428571,100.00367713596977,7,0,0,0,276.7299999999999,48.99999999999998,0,0
