Time Elapsed (min),Stroke Rate,Average Power,Score,Misses,Handle Force,Handle Position,Raw Seat Position,Converted Seat Position,Left Foot Force,Right Foot Force
0.00,0,0,0,0,0,0,85.93,9.0,0,0
0.00,26.844624348090985,127.00310018329434,0,0,0,0,100.24000000000001,12.0,0,0
0.00,28.67882235846069,129.78419887418656,0,0,0,0,114.55000000000001,15.0,0,0
0.00,29.12954071886796,128.58099592209004,0,0,0,0,128.86,18.0,0,0
0.00,30.630201617138766,122.77457506854208,0,0,0,0,143.16999999999996,21.0,0,0
0.00,32.25692273357378,126.7793179592689,0,0,0,0,157.48000000000002,24.0,0,0
0.00,30.848707853460038,131.27266430501726,0,0,0,0,171.79000000000002,27.0,0,0
0.00,32.01175928277846,132.60010129547214,0,0,0,0,186.10000000000002,30.0,0,0
0.00,31.39461284477666,133.73565652967326,0,0,0,0,200.40999999999997,33.0,0,0
0.00,31.191121002529695,130.52991658341415,0,0,0,0,214.71999999999997,36.0,0,0
0.02,29.740097278903566,132.7301153140647,0,0,0,0,229.03000000000003,39.0,0,0
0.02,27.85894425394849,129.2715180668732,0,1,0,0,243.34000000000003,42.00000000000001,0,0
0.02,27.46520231614654,127.80386494619847,0,1,0,0,257.65000000000003,45.00000000000001,0,0
0.02,28.448629279523075,128.74293660309993,0,1,0,0,271.96000000000004,48.00000000000001,0,0
0.02,27.200405643101753,129.0075181387988,0,1,0,0,286.27000000000004,51.00000000000001,0,0
0.02,26.843328566352817,129.74732275506346,0,1,0,0,300.58000000000004,54.00000000000001,0,0
0.02,27.231910905290743,133.22003902747315,0,1,0,0,314.89000000000004,57.000000000000014,0,0
0.02,26.05188511692111,134.880379530251,0,1,0,0,329.20000000000005,60.00000000000001,0,0
0.02,26.61951348738006,136.79620314601675,0,1,0,0,343.51,63.0,0,0
0.02,25.28373515604479,138.13615248385307,0,1,0,0,357.82,66.0,0,0
0.03,24.807057471536012,140.5071657419313,0,1,0,0,372.13,69.0,0,0
0.03,24.25127413911571,143.56907237916317,0,1,0,0,386.44,72.0,0,0
0.03,23.76883872535647,144.94667581991453,0,1,0,0,400.75,75.0,0,0
0.03,22.500130645224402,143.6094777632847,0,1,0,0,415.06,78.0,0,0
0.03,22.44477896646047,144.54600120719044,0,1,0,0,429.37,81.0,0,0
0.03,22.63957391971119,144.31395952622512,0,1,0,0,443.68,84.0,0,0
0.03,21.431083109525524,145.02792385370498,0,1,0,0,457.99,87.0,0,0
0.03,20.077797332917775,144.9621965505864,0,1,0,0,472.3,90.0,0,0
0.03,18.25278627675404,145.32714605455237,0,1,0,0,486.61,93.0,0,0
0.03,18,145.71021673551692,0,1,0,0,500.92,96.0,0,0
0.05,18,146.05507458050462,0,1,0,0,515.23,99.0,0,0
0.05,18.16843851933968,146.10216622845292,0,1,0,0,520,100.0,0,0
0.05,19.39228637977866,143.22167045624593,1,1,0,0,505.69,97.0,0,0
0.05,20.187953421355342,140.8885408866711,1,1,0,0,491.38,94.0,0,0
0.05,21.893259604860194,138.6328260883694,1,1,0,0,477.07,91.0,0,0
0.05,21.306674552310618,136.43234031997832,1,1,0,0,462.76,88.0,0,0
0.05,19.821325913240724,134.05190368389125,1,1,0,0,448.45,85.0,0,0
