Time Elapsed (min),Stroke Rate,Average Power,Score,Misses,Handle Force (ai20),Handle Position (ai21),Raw Seat Position (ai22),Converted Seat Position,Left Foot Force (ai16),Right Foot Force (ai18)
0.00,0,0,0,0,0,0,515.23,99.0,0,0
0.00,25.47773498709318,117.45242727387108,0,0,0,0,520,100.0,0,0
0.00,26.907935956134473,94.30085269966645,0,0,0,0,505.69,97.0,0,0
0.00,26.069501627122243,78.01814664220588,0,0,0,0,491.38,94.0,0,0
0.00,24.782119527617173,70.97934152160204,0,0,0,0,477.07,91.0,0,0
0.00,24.155707444345886,70.80354482326983,0,0,0,0,462.76,88.0,0,0
0.00,23.08837289781409,73.5963825971888,0,0,0,0,448.45,85.0,0,0
0.00,24.293130737784285,72.38218912731199,0,0,0,0,434.14,82.0,0,0
0.00,23.36206174542165,72.7580878619166,0,0,0,0,419.83,79.0,0,0
0.02,25.03284917904756,71.08592814255915,0,0,0,0,405.52,76.0,0,0
0.02,25.53650627542189,70.01671470629901,1,0,0,0,391.21,73.0,0,0
0.02,25.40455299514582,68.92339747911682,1,0,0,0,376.9,70.0,0,0
0.02,23.934571222154627,69.27892568064817,1,0,0,0,362.59000000000003,67.0,0,0
0.02,22.8670550478529,69.76939964335627,1,0,0,0,348.28,63.99999999999999,0,0
0.02,22.557269762919205,67.82872763072584,1,0,0,0,333.96999999999997,60.99999999999999,0,0
0.02,22.769503002065868,66.40461269033518,2,0,0,0,319.65999999999997,57.99999999999999,0,0
0.02,24.547991122814704,66.10721212165866,2,0,0,0,305.34999999999997,54.99999999999999,0,0
0.02,23.745905902759294,66.56818414428999,2,0,0,0,291.03999999999996,51.99999999999999,0,0
0.03,23.78217307566599,65.8922058688493,2,0,0,0,276.7299999999999,48.99999999999998,0,0
0.03,22.336842865015566,67.00682670921091,2,0,0,0,262.4199999999999,45.99999999999997,0,0
0.03,20.47388871795824,67.39945685077157,2,0,0,0,248.10999999999984,42.99999999999997,0,0
0.03,21.805584388204757,67.1705525942398,2,0,0,0,233.79999999999984,39.99999999999997,0,0
0.03,21.629436010396475,66.3334522833254,2,0,0,0,219.48999999999984,36.999999999999964,0,0
0.03,22.63491631652613,66.5563296146298,2,0,0,0,205.1799999999999,33.99999999999997,0,0
0.03,22.67549140287896,66.53943006929933,2,0,0,0,190.8699999999999,30.99999999999997,0,0
0.03,20.778307647528155,67.70295011543872,2,0,0,0,176.55999999999983,27.99999999999997,0,0
0.03,20.063759666089844,66.43424220877348,2,0,0,0,162.24999999999983,24.99999999999997,0,0
0.05,21.99955477486234,65.99279169397087,2,0,0,0,147.93999999999988,21.99999999999997,0,0
0.05,20.287968691798007,65.40075338924171,2,0,0,0,133.62999999999988,18.99999999999997,0,0
0.05,20.019680282138562,65.25198770358193,2,0,0,0,119.31999999999988,15.999999999999972,0,0
0.05,21.71218608066474,64.78616639092795,2,0,0,0,105.00999999999982,12.999999999999972,0,0
0.05,21.329837313725125,63.38665369140478,2,0,0,0,90.69999999999987,9.999999999999972,0,0
0.05,21.27336228550688,62.40713232450914,2,0,0,0,76.38999999999987,6.999999999999972,0,0
0.05,20.098313731419296,62.19277712321809,2,0,0,0,62.07999999999987,3.9999999999999716,0,0
0.05,21.828786633724516,63.04212241403286,2,0,0,0,47.76999999999987,0.9999999999999716,0,0
0.05,21.47900403505246,63.05548688713822,2,0,0,0,43,0.0,0,0
0.05,20.95092212239578,63.54555491376367,2,0,0,0,57.31,3.0,0,0
0.07,20.184171008936175,64.74082504501868,2,0,0,0,71.62,6.0,0,0
0.07,20.136422848646827,66.1608627602663,2,0,0,0,85.93,9.0,0,0
0.07,21.353758657440736,67.23789642394021,2,0,0,0,100.24000000000001,12.0,0,0
0.07,19.808029484573044,67.95219414255513,2,0,0,0,114.55000000000001,15.0,0,0
0.07,21.292480759014477,69.46975743466399,2,0,0,0,128.86,18.0,0,0
0.07,22.07039364652302,70.29343770677238,2,0,0,0,143.16999999999996,21.0,0,0
0.07,23.88475282802347,70.83854039705547,2,0,0,0,157.48000000000002,24.0,0,0
0.07,24.682349419871358,70.77079360997308,2,0,0,0,171.79000000000002,27.0,0,0
0.07,23.41036333555011,71.39177150771557,2,0,0,0,186.10000000000002,30.0,0,0
0.08,22.432299842103767,72.70325251239986,2,0,0,0,200.40999999999997,33.0,0,0
0.08,21.44046891847718,73.25305342668378,2,0,0,0,214.71999999999997,36.0,0,0
