Time Elapsed (min),Stroke Rate,Average Power,Score,Misses,Handle Force (ai20),Handle Position (ai21),Raw Seat Position (ai22),Converted Seat Position,Left Foot Force (ai16),Right Foot Force (ai18)
0.00,0,0,0,0,0,0,143.16999999999996,21.0,0,0
0.00,23.89057933899032,103.77338055973684,0,0,0,0,157.48000000000002,24.0,0,0
0.00,22.06781407626911,106.19830735036912,0,0,0,0,171.79000000000002,27.0,0,0
0.00,23.556228466565543,116.23128145513678,0,0,0,0,186.10000000000002,30.0,0,0
0.00,22.79531780369516,110.98364692004631,0,0,0,0,200.40999999999997,33.0,0,0
0.00,23.097450943202297,115.2820019130852,0,0,0,0,214.71999999999997,36.0,0,0
0.00,24.57270418906371,113.92365440702143,0,0,0,0,229.03000000000003,39.0,0,0
0.00,23.678229055790823,109.11867844565269,0,0,0,0,243.34000000000003,42.00000000000001,0,0
0.00,24.212939742112606,111.6502899085136,0,0,0,0,257.65000000000003,45.00000000000001,0,0
0.00,23.346436425292403,110.05533886007831,0,0,0,0,271.96000000000004,48.00000000000001,0,0
0.02,23.609510023654977,115.4537979932682,0,0,0,0,286.27000000000004,51.00000000000001,0,0
0.02,22.17980680881437,119.84118640595652,0,0,0,0,300.58000000000004,54.00000000000001,0,0
0.02,20.475662214856673,122.65796502045052,0,0,0,0,314.89000000000004,57.000000000000014,0,0
0.02,20.890710800249444,123.54670342741296,0,0,0,0,329.20000000000005,60.00000000000001,0,0
0.02,20.773623190254,128.31596298028225,0,0,0,0,343.51,63.0,0,0
0.02,22.5123222621689,128.26989233498264,0,0,0,0,357.82,66.0,0,0
0.02,21.243594213508196,127.98453355678036,0,0,0,0,372.13,69.0,0,0
0.02,20.827734027877383,129.68492058401583,0,0,0,0,386.44,72.0,0,0
0.02,22.68598570316065,130.21892506636829,0,0,0,0,400.75,75.0,0,0
0.02,22.625598722836713,133.70652854713308,0,0,0,0,415.06,78.0,0,0
0.03,24.60633119854,133.63905331445827,0,0,0,0,429.37,81.0,0,0
0.03,24.978555612480946,133.81323648543386,0,0,0,0,443.68,84.0,0,0
0.03,24.127556134157114,134.86370294284197,0,0,0,0,457.99,87.0,0,0
0.03,24.55335308801248,136.41260243766268,0,0,0,0,472.3,90.0,0,0
0.03,24.766439323208687,135.92991441999814,0,0,0,0,486.61,93.0,0,0
0.03,22.864120186727245,137.30000208915365,0,0,0,0,500.92,96.0,0,0
0.03,24.589771126413183,139.90727782344027,0,0,0,0,515.23,99.0,0,0
0.03,25.64382392859733,141.05970750630163,0,0,0,0,520,100.0,0,0
0.03,27.305673862959853,137.44940751895484,0,0,0,0,505.69,97.0,0,0
0.03,28.632176763289017,135.3819819311279,0,0,0,0,491.38,94.0,0,0
