Time Elapsed (min),Stroke Rate,Average Power,Score,Misses,Handle Force (ai20),Handle Position (ai21),Raw Seat Position (ai22),Converted Seat Position,Left Foot Force (ai16),Right Foot Force (ai18)
0.00,0,0,0,0,0,0,114.55000000000001,15.0,0,0
0.00,24.62276767173303,122.2351601822937,0,0,0,0,128.86,18.0,0,0
0.00,26.491756582064056,116.62425685427667,0,0,0,0,143.16999999999996,21.0,0,0
0.00,27.523905973203,120.12642683529839,0,0,0,0,157.48000000000002,24.0,0,0
0.00,26.197460772266872,124.69276295741902,0,0,0,0,171.79000000000002,27.0,0,0
0.00,26.17592459474696,124.7591851661909,0,0,0,0,186.10000000000002,30.0,0,0
0.00,24.26557532298883,127.28624439010402,0,0,0,0,200.40999999999997,33.0,0,0
0.00,25.084846868329837,125.81412046387058,0,0,0,0,214.71999999999997,36.0,0,0
0.00,24.111672884828042,127.67395163189222,0,0,0,0,229.03000000000003,39.0,0,0
0.00,25.517662242773522,126.9947348446843,0,0,0,0,243.34000000000003,42.00000000000001,0,0
0.02,25.4542714792777,128.67783939697262,0,0,0,0,257.65000000000003,45.00000000000001,0,0
0.02,26.707004245213376,127.25139206502023,0,0,0,0,271.96000000000004,48.00000000000001,0,0
0.02,26.952892209141865,128.77861747666168,0,0,0,0,286.27000000000004,51.00000000000001,0,0
0.02,26.161354102188135,129.99906428860143,0,0,0,0,300.58000000000004,54.00000000000001,0,0
0.02,25.609755331502907,130.83006743832763,0,0,0,0,314.89000000000004,57.000000000000014,0,0
0.02,23.61570909493783,131.26910221863707,0,0,0,0,329.20000000000005,60.00000000000001,0,0
0.02,22.101475572552523,132.78245714653693,0,0,0,0,343.51,63.0,0,0
0.02,20.756404192249263,133.7851681005414,0,0,0,0,357.82,66.0,0,0
0.02,20.4908328489848,134.74644107918948,0,0,0,0,372.13,69.0,0,0
0.02,22.415573348601512,137.7386782598651,0,0,0,0,386.44,72.0,0,0
0.03,21.07616260236086,138.60908586994333,0,0,0,0,400.75,75.0,0,0
