Time Elapsed (min),Stroke Rate,Average Power,Score,Misses,Handle Force,Handle Position,Raw Seat Position,Converted Seat Position,Left Foot Force,Right Foot Force
0.00,0,0,0,0,0,0,100.24000000000001,12.0,0,0
0.00,22.350793070772397,125.57127208259445,0,0,0,0,114.55000000000001,15.0,0,0
0.00,22.964615023835563,124.59265468011597,0,0,0,0,128.86,18.0,0,0
0.00,23.57843697689873,124.10334597887675,0,0,0,0,143.16999999999996,21.0,0,0
0.00,24.192258929961895,123.80976075813321,0,0,0,0,157.48000000000002,24.0,0,0
0.00,24.80608088302506,123.61403727763752,0,0,0,0,171.79000000000002,27.0,0,0
0.00,25.419902836088227,123.47423479156917,0,0,0,0,186.10000000000002,30.0,0,0
0.00,26.033724789151393,123.36938292701791,0,0,0,0,200.40999999999997,33.0,0,0
0.00,26.64754674221456,123.28783147681136,0,0,0,0,214.71999999999997,36.0,0,0
0.00,27.261368695277724,123.22259031664612,0,0,0,0,229.03000000000003,39.0,0,0
0.02,27.87519064834089,123.16921118560184,0,0,0,0,243.34000000000003,42.00000000000001,0,0
0.02,28.489012601404056,123.12472857639825,0,0,0,0,257.65000000000003,45.00000000000001,0,0
0.02,29.102834554467222,123.08708944553369,0,0,0,0,271.96000000000004,48.00000000000001,0,0
0.02,29.716656507530388,126.52899643934236,0,0,0,0,286.27000000000004,51.00000000000001,0,0
0.02,30.330478460593554,129.51198250064323,0,0,0,0,300.58000000000004,54.00000000000001,0,0
0.02,30.94430041365672,132.12209530428146,0,0,0,0,314.89000000000004,57.000000000000014,0,0
0.02,31.558122366719886,134.42513601337401,0,0,0,0,329.20000000000005,60.00000000000001,0,0
0.02,32.17194431978305,136.47228331034518,0,0,0,0,343.51,63.0,0,0
0.02,32.78576627284622,138.30394141816146,0,0,0,0,357.82,66.0,0,0
0.02,33.39958822590938,139.95243371519615,0,0,0,0,372.13,69.0,0,0
0.03,34.01341017897255,141.44392674584657,0,0,0,0,386.44,72.0,0,0
0.03,34.627232132035715,142.7998295009833,0,0,0,0,400.75,75.0,0,0
0.03,35,144.03782766871683,0,0,0,0,415.06,78.0,0,0
0.03,35,145.17265932247258,0,0,0,0,429.37,81.0,0,0
0.03,35,146.21670444392788,0,0,0,0,443.68,84.0,0,0
0.03,35,147.1804384021943,0,0,0,0,457.99,87.0,0,0
0.03,35,148.0727846598484,0,0,0,0,472.3,90.0,0,0
0.03,35,148.90139189909863,0,0,0,0,486.61,93.0,0,0
0.03,35,149.672853811504,0,0,0,0,500.92,96.0,0,0
0.03,35,150.39288492974904,0,0,0,0,515.23,99.0,0,0
0.05,35,151.06646242746214,0,0,0,0,520,100.0,0,0
0.05,35,148.07559437997168,0,0,0,0,505.69,97.0,0,0
0.05,35,145.26599106263214,0,0,0,0,491.38,94.0,0,0
0.05,35,142.62165852866553,0,0,0,0,477.07,91.0,0,0
0.05,35,140.12843071092558,0,0,0,0,462.76,88.0,0,0
0.05,35,137.77371554972675,0,0,0,0,448.45,85.0,0,0
0.05,35,135.54628228913325,0,0,0,0,434.14,82.0,0,0
0.05,35,133.43608235804467,0,0,0,0,419.83,79.0,0,0
0.05,35,131.43409780803756,0,0,0,0,405.52,76.0,0,0
0.05,35,129.5322124855308,0,0,0,0,391.21,73.0,0,0
0.07,35,127.72310205680488,0,0,0,0,376.9,70.0,0,0
0.07,35,126.00013974373256,0,0,0,0,362.59000000000003,67.0,0,0
0.07,35,124.35731521266361,0,0,0,0,348.28,63.99999999999999,0,0
0.07,35,122.78916452391596,0,0,0,0,333.96999999999997,60.99999999999999,0,0
0.07,35,121.29070942133488,0,0,0,0,319.65999999999997,57.99999999999999,0,0
0.07,35,119.85740454060515,0,0,0,0,305.34999999999997,54.99999999999999,0,0
0.07,35,118.48509135692775,0,0,0,0,291.03999999999996,51.99999999999999,0,0
0.07,35,117.16995788923691,0,0,0,0,276.7299999999999,48.99999999999998,0,0
0.07,35,115.90850333859467,0,0,0,0,262.4199999999999,45.99999999999997,0,0
0.07,35,114.69750696997814,0,0,0,0,248.10999999999984,42.99999999999997,0,0
0.08,35,113.53400065503283,0,0,0,0,233.79999999999984,39.99999999999997,0,0
0.08,35,112.41524458297002,0,0,0,0,219.48999999999984,36.999999999999964,0,0
