Time Elapsed (min),Stroke Rate,Average Power,Score,Misses,Handle Force (ai20),Handle Position (ai21),Raw Seat Position (ai22),Converted Seat Position,Left Foot Force (ai16),Right Foot Force (ai18)
0.00,0,0,0,0,0,0,500.92,96.0,0,0
0.00,23.79507428333153,148.56766203004216,0,0,0,0,515.23,99.0,0,0
0.00,25.60349805800017,150.95970632201178,0,0,0,0,520,100.0,0,0
0.00,23.617593474380197,124.39384747200238,0,0,0,0,505.69,97.0,0,0
0.00,25.40846894814149,107.62692755030703,0,0,0,0,491.38,94.0,0,0
0.00,24.078723841290884,100.68541714397736,0,0,0,0,477.07,91.0,0,0
0.00,24.309494716425217,94.0199387995974,0,0,0,0,462.76,88.0,0,0
0.00,23.073849864055735,89.24686551883048,0,0,0,0,448.45,85.0,0,0
0.00,23.732426148102068,85.07719456844063,0,0,0,0,434.14,82.0,0,0
0.00,24.282996737996495,81.37552990191787,0,0,0,0,419.83,79.0,0,0
0.02,22.52375795884027,75.4507766904005,0,0,0,0,405.52,76.0,0,0
0.02,20.810829107730456,75.29654061114199,1,0,0,0,391.21,73.0,0,0
0.02,20.41943322232503,74.3016046018744,1,0,0,0,376.9,70.0,0,0
0.02,20.453754343457682,74.66152428526162,1,0,0,0,362.59000000000003,67.0,0,0
0.02,21.60826860189648,73.41066290373934,1,0,0,0,348.28,63.99999999999999,0,0
0.02,21.64257595430759,70.10479363676659,1,0,0,0,333.96999999999997,60.99999999999999,0,0
0.02,21.766501927289802,67.99450813523599,1,0,0,0,319.65999999999997,57.99999999999999,0,0
0.02,23.12500264425767,67.90877554253191,1,0,0,0,305.34999999999997,54.99999999999999,0,0
0.02,23.65559183747823,67.77426985586833,1,0,0,0,291.03999999999996,51.99999999999999,0,0
0.02,23.492557081709485,66.07346206614122,1,0,0,0,276.7299999999999,48.99999999999998,0,0
0.03,24.83469958228318,65.95330391089968,1,0,0,0,262.4199999999999,45.99999999999997,0,0
0.03,25.258149214091993,65.24972789417895,1,0,0,0,248.10999999999984,42.99999999999997,0,0
0.03,24.334654114622733,65.39077258169105,1,0,0,0,233.79999999999984,39.99999999999997,0,0
0.03,23.740933927365226,64.65809721325321,1,0,0,0,219.48999999999984,36.999999999999964,0,0
0.03,22.074907902132043,63.043637635299675,1,0,0,0,205.1799999999999,33.99999999999997,0,0
0.03,23.92242449404056,62.856819914057446,1,0,0,0,190.8699999999999,30.99999999999997,0,0
0.03,23.5514229339201,63.279862822845246,1,0,0,0,176.55999999999983,27.99999999999997,0,0
0.03,24.62523257481421,63.32484675638029,1,0,0,0,162.24999999999983,24.99999999999997,0,0
0.03,24.155199457853914,62.596747286488956,1,0,0,0,147.93999999999988,21.99999999999997,0,0
0.03,25.382142777202105,63.05986363203281,1,0,0,0,133.62999999999988,18.99999999999997,0,0
0.05,25.900524515324324,62.91775467696761,1,0,0,0,119.31999999999988,15.999999999999972,0,0
0.05,27.29031227091536,62.95270345578013,1,0,0,0,105.00999999999982,12.999999999999972,0,0
0.05,27.113310781699035,63.023133450738236,1,0,0,0,90.69999999999987,9.999999999999972,0,0
0.05,26.71430109934778,61.882303663812856,1,0,0,0,76.38999999999987,6.999999999999972,0,0
0.05,28.26252993427765,62.51678080577369,1,0,0,0,62.07999999999987,3.9999999999999716,0,0
0.05,26.49377694954594,61.989704828177324,1,0,0,0,47.76999999999987,0.9999999999999716,0,0
0.05,27.18837571720479,62.11513461323518,1,0,0,0,43,0.0,0,0
0.05,27.523371092735015,63.98353790426344,1,0,0,0,57.31,3.0,0,0
0.05,29.318308934617612,66.16509676607714,1,0,0,0,71.62,6.0,0,0
0.05,30.705580444149934,66.06716590781869,1,0,0,0,85.93,9.0,0,0
